time,id,com_1,com_2,area,surface
0.0,0,4.0,4.0,0.0,37.0,64.0
10.0,0,4.290322581,3.709677419,0.1685744017,31.0,60.0
20.0,0,4.393939394,3.818181818,0.1882460973,33.0,64.0
30.0,0,5.090909091,3.696969697,1.281910009,33.0,62.0
40.0,0,5.1,4.0,1.21,30.0,62.0
50.0,0,5.03030303,4.0,1.061524334,33.0,66.0
60.0,0,4.909090909,4.303030303,0.9182736455,33.0,62.0
70.0,0,5.090909091,3.696969697,1.281910009,33.0,62.0
80.0,0,5.333333333,3.454545455,2.075298439,33.0,64.0
90.0,0,4.909090909,3.96969697,0.8273645546,33.0,64.0
100.0,0,5.352941176,3.735294118,1.900519031,34.0,64.0
110.0,0,4.90625,3.21875,1.431640625,32.0,64.0
120.0,0,5.235294118,3.617647059,1.672145329,34.0,66.0
130.0,0,6.03030303,3.181818182,4.791551882,33.0,62.0
140.0,0,5.71875,2.78125,4.439453125,32.0,62.0
150.0,0,5.088235294,3.029411765,2.126297578,34.0,64.0
160.0,0,4.771428571,2.914285714,1.773877551,35.0,64.0
170.0,0,5.125,3.1875,1.92578125,32.0,66.0
180.0,0,4.970588235,3.764705882,0.9974048443,34.0,64.0
190.0,0,4.735294118,4.0,0.5406574394,34.0,64.0
200.0,0,5.029411765,3.764705882,1.115051903,34.0,64.0
210.0,0,4.657142857,3.6,0.5918367347,35.0,66.0
220.0,0,4.290322581,3.806451613,0.121748179,31.0,60.0
230.0,0,4.181818182,3.636363636,0.1652892562,33.0,64.0
240.0,0,4.375,3.34375,0.5712890625,32.0,62.0
250.0,0,3.727272727,4.0,0.07438016529,33.0,64.0
260.0,0,2.903225806,3.967741935,1.203954214,31.0,62.0
270.0,0,2.588235294,4.176470588,2.024221453,34.0,64.0
280.0,0,2.878787879,4.363636364,1.389348026,33.0,66.0
290.0,0,2.03030303,4.484848485,4.114784206,33.0,64.0
300.0,0,1.741935484,4.322580645,5.202913632,31.0,64.0
310.0,0,1.151515152,3.909090909,8.122130395,33.0,64.0
320.0,0,1.323529412,4.235294118,7.218858131,34.0,64.0
330.0,0,1.28125,3.5,7.641601562,32.0,62.0
340.0,0,0.9428571429,4.114285714,9.359183673,35.0,64.0
350.0,0,1.294117647,3.647058824,7.446366782,34.0,66.0
360.0,0,0.8181818182,4.363636364,10.25619835,33.0,64.0
370.0,0,1.09375,3.84375,8.470703125,32.0,64.0
380.0,0,1.205882353,4.0,7.807093426,34.0,66.0
390.0,0,1.774193548,4.161290323,4.980228928,31.0,62.0
400.0,0,1.4375,4.28125,6.645507812,32.0,62.0
410.0,0,2.03030303,3.939393939,3.883379247,33.0,64.0
420.0,0,1.806451613,3.967741935,4.812695109,31.0,64.0
430.0,0,2.0,3.771428571,4.052244898,35.0,64.0
440.0,0,2.5625,3.3125,2.5390625,32.0,64.0
450.0,0,2.40625,3.84375,2.564453125,32.0,64.0
460.0,0,2.6,3.314285714,2.430204082,35.0,64.0
470.0,0,2.0,3.0,5.0,33.0,64.0
480.0,0,2.0,2.735294118,5.599480969,34.0,62.0
490.0,0,1.818181818,3.272727273,5.289256198,33.0,62.0
500.0,0,2.21875,3.0,4.172851562,32.0,62.0
510.0,0,2.5,3.0,3.25,32.0,62.0
520.0,0,2.205882353,2.882352941,4.46799308,34.0,64.0
530.0,0,1.909090909,2.575757576,6.400367309,33.0,64.0
540.0,0,2.027777778,2.916666667,5.063271605,36.0,64.0
550.0,0,1.90625,2.9375,5.512695312,32.0,64.0
560.0,0,2.125,3.0625,4.39453125,32.0,62.0
570.0,0,2.580645161,3.35483871,2.430801249,31.0,62.0
580.0,0,2.25,3.5,3.3125,32.0,64.0
590.0,0,3.1,3.5,1.06,30.0,62.0
600.0,0,3.352941176,4.0,0.4186851211,34.0,64.0
610.0,0,3.542857143,3.228571429,0.8040816327,35.0,66.0
620.0,0,3.71875,3.09375,0.900390625,32.0,64.0
630.0,0,4.1875,2.90625,1.231445312,32.0,68.0
640.0,0,4.625,2.96875,1.454101562,32.0,64.0
650.0,0,4.606060606,3.333333333,0.8117539027,33.0,64.0
660.0,0,5.064516129,3.516129032,1.367325702,31.0,62.0
670.0,0,5.0,3.735294118,1.070069204,34.0,62.0
680.0,0,4.090909091,4.454545455,0.2148760331,33.0,66.0
690.0,0,4.090909091,4.636363636,0.4132231405,33.0,64.0
700.0,0,4.352941176,3.794117647,0.1669550173,34.0,66.0
710.0,0,4.0,3.696969697,0.09182736455,33.0,64.0
720.0,0,4.205882353,3.764705882,0.09775086505,34.0,64.0
730.0,0,4.0,3.5625,0.19140625,32.0,62.0
740.0,0,3.818181818,3.636363636,0.1652892562,33.0,64.0
750.0,0,3.96875,3.90625,0.009765625,32.0,62.0
760.0,0,4.176470588,3.823529412,0.06228373702,34.0,62.0
770.0,0,3.909090909,4.242424242,0.06703397612,33.0,62.0
780.0,0,3.393939394,3.727272727,0.4416896235,33.0,64.0
790.0,0,3.333333333,2.757575758,1.988062443,33.0,62.0
800.0,0,3.5625,2.8125,1.6015625,32.0,64.0
810.0,0,3.5,2.6875,1.97265625,32.0,64.0
