time,id,com_1,com_2,area,surface
0.0,0,50.0,50.0,0.0,37.0,64.0
100.0,0,50.470588235,49.117647059,1.0,34.0,66.0
200.0,0,51.25,50.625,1.953125,32.0,64.0
300.0,0,51.903225806,50.838709677,4.325702393,31.0,64.0
400.0,0,53.588235294,51.088235294,14.05968858,34.0,64.0
500.0,0,53.787878788,51.363636364,16.20752984,33.0,64.0
600.0,0,53.151515152,53.454545455,21.86593205,33.0,64.0
700.0,0,53.424242424,55.787878788,45.22497704,33.0,64.0
800.0,0,55.181818182,57.36363636,81.07438017,33.0,66.0
900.0,0,56.14705882,57.82352941,98.99394464,34.0,64.0
1000.0,0,56.121212119999996,57.81818182,98.59320478,33.0,64.0
1100.0,0,55.9375,57.71875,94.83300781,32.0,64.0
1200.0,0,56.84375,55.96875,82.46289062,32.0,64.0
1300.0,0,57.032258060000004,54.225806452,67.31009365,31.0,64.0
1400.0,0,56.5,53.0,51.25,34.0,62.0
1500.0,0,53.516129032,52.064516129,16.62539022,31.0,62.0
1600.0,0,51.470588235,50.735294118,2.703287197,34.0,66.0
1700.0,0,53.121212121,51.484848485,11.94674013,33.0,64.0
1800.0,0,54.290322581,51.64516129,21.11342352,31.0,62.0
1900.0,0,55.03030303,51.878787879,28.83379247,33.0,64.0
2000.0,0,55.645161290000004,51.806451613,35.13111342,31.0,60.0
2100.0,0,54.25,52.5625,24.62890625,32.0,62.0
2200.0,0,54.9375,53.5625,37.0703125,32.0,64.0
2300.0,0,55.647058824,53.558823529,44.55449827,34.0,64.0
2400.0,0,55.272727273,53.333333333,38.912764,33.0,64.0
2500.0,0,56.6875,52.40625,50.51269531,32.0,64.0
2600.0,0,56.625,53.03125,53.07910156,32.0,64.0
2700.0,0,54.516129032,53.64516129,33.68262227,31.0,60.0
2800.0,0,53.787878788,51.454545455,16.46372819,33.0,64.0
2900.0,0,52.666666667,53.181818182,17.23507805,33.0,64.0
3000.0,0,52.161290323,51.741935484,7.705515088,31.0,64.0
3100.0,0,51.84375,49.28125,3.916015625,32.0,62.0
3200.0,0,52.484848485,49.606060606,6.329660239,33.0,62.0
3300.0,0,52.3125,50.1875,5.3828125,32.0,62.0
3400.0,0,53.575757576,51.727272727,15.76951331,33.0,64.0
3500.0,0,51.96875,53.90625,19.13476562,32.0,62.0
3600.0,0,52.066666667,54.433333333,23.92555556,30.0,62.0
3700.0,0,51.575757576,55.212121212,29.64921947,33.0,64.0
3800.0,0,52.114285714,55.028571428999996,29.75673469,35.0,66.0
3900.0,0,53.242424242,53.151515152,20.44536272,33.0,64.0
4000.0,0,51.25,50.90625,2.383789062,32.0,62.0
4100.0,0,52.485714286000004,53.171428571,16.23673469,35.0,66.0
4200.0,0,51.942857143,50.342857143,3.892244898,35.0,64.0
4300.0,0,51.090909091,53.909090909,16.47107438,33.0,64.0
4400.0,0,52.323529412,56.82352941,51.95934256,34.0,66.0
4500.0,0,52.5,56.58823529,49.65484429,34.0,64.0
4600.0,0,49.9375,57.34375,53.93457031,32.0,64.0
4700.0,0,49.78125,57.78125,60.59570312,32.0,62.0
4800.0,0,49.294117647,56.97058824,49.08737024,34.0,64.0
4900.0,0,47.741935484,58.87096774,83.79292404,31.0,62.0
5000.0,0,50.9375,60.15625,104.0283203,32.0,64.0
5100.0,0,51.78125,58.90625,82.49414062,32.0,64.0
5200.0,0,52.6,59.8,102.8,35.0,66.0
5300.0,0,53.205882353,58.882352940000004,89.17387543,34.0,64.0
