time,id,com_1,com_2,area,surface
0.0,0,4.0,4.0,0.0,37.0,64.0
100.0,0,4.470588235,3.117647059,1.0,34.0,66.0
200.0,0,5.25,4.625,1.953125,32.0,64.0
300.0,0,5.903225806,4.838709677,4.325702393,31.0,64.0
400.0,0,7.588235294,5.088235294,14.05968858,34.0,64.0
500.0,0,7.787878788,5.363636364,16.20752984,33.0,64.0
600.0,0,7.151515152,7.454545455,21.86593205,33.0,64.0
700.0,0,7.424242424,9.787878788,45.22497704,33.0,64.0
800.0,0,9.181818182,11.36363636,81.07438017,33.0,66.0
900.0,0,10.14705882,11.82352941,98.99394464,34.0,64.0
1000.0,0,10.12121212,11.81818182,98.59320478,33.0,64.0
1100.0,0,9.9375,11.71875,94.83300781,32.0,64.0
1200.0,0,10.84375,9.96875,82.46289062,32.0,64.0
1300.0,0,11.03225806,8.225806452,67.31009365,31.0,64.0
1400.0,0,10.5,7.0,51.25,34.0,62.0
1500.0,0,7.516129032,6.064516129,16.62539022,31.0,62.0
1600.0,0,5.470588235,4.735294118,2.703287197,34.0,66.0
1700.0,0,7.121212121,5.484848485,11.94674013,33.0,64.0
1800.0,0,8.290322581,5.64516129,21.11342352,31.0,62.0
1900.0,0,9.03030303,5.878787879,28.83379247,33.0,64.0
2000.0,0,9.64516129,5.806451613,35.13111342,31.0,60.0
2100.0,0,8.25,6.5625,24.62890625,32.0,62.0
2200.0,0,8.9375,7.5625,37.0703125,32.0,64.0
2300.0,0,9.647058824,7.558823529,44.55449827,34.0,64.0
2400.0,0,9.272727273,7.333333333,38.912764,33.0,64.0
2500.0,0,10.6875,6.40625,50.51269531,32.0,64.0
2600.0,0,10.625,7.03125,53.07910156,32.0,64.0
2700.0,0,8.516129032,7.64516129,33.68262227,31.0,60.0
2800.0,0,7.787878788,5.454545455,16.46372819,33.0,64.0
2900.0,0,6.666666667,7.181818182,17.23507805,33.0,64.0
3000.0,0,6.161290323,5.741935484,7.705515088,31.0,64.0
3100.0,0,5.84375,3.28125,3.916015625,32.0,62.0
3200.0,0,6.484848485,3.606060606,6.329660239,33.0,62.0
3300.0,0,6.3125,4.1875,5.3828125,32.0,62.0
3400.0,0,7.575757576,5.727272727,15.76951331,33.0,64.0
3500.0,0,5.96875,7.90625,19.13476562,32.0,62.0
3600.0,0,6.066666667,8.433333333,23.92555556,30.0,62.0
3700.0,0,5.575757576,9.212121212,29.64921947,33.0,64.0
3800.0,0,6.114285714,9.028571429,29.75673469,35.0,66.0
3900.0,0,7.242424242,7.151515152,20.44536272,33.0,64.0
4000.0,0,5.25,4.90625,2.383789062,32.0,62.0
4100.0,0,6.485714286,7.171428571,16.23673469,35.0,66.0
4200.0,0,5.942857143,4.342857143,3.892244898,35.0,64.0
4300.0,0,5.090909091,7.909090909,16.47107438,33.0,64.0
4400.0,0,6.323529412,10.82352941,51.95934256,34.0,66.0
4500.0,0,6.5,10.58823529,49.65484429,34.0,64.0
4600.0,0,3.9375,11.34375,53.93457031,32.0,64.0
4700.0,0,3.78125,11.78125,60.59570312,32.0,62.0
4800.0,0,3.294117647,10.97058824,49.08737024,34.0,64.0
4900.0,0,1.741935484,12.87096774,83.79292404,31.0,62.0
5000.0,0,4.9375,14.15625,104.0283203,32.0,64.0
5100.0,0,5.78125,12.90625,82.49414062,32.0,64.0
5200.0,0,6.6,13.8,102.8,35.0,66.0
5300.0,0,7.205882353,12.88235294,89.17387543,34.0,64.0
5400.0,0,6.0,14.5,114.25,34.0,62.0
5500.0,0,6.424242424,16.93939394,173.3048669,33.0,64.0
5600.0,0,6.53125,18.75,223.9697266,32.0,64.0
5700.0,0,5.5,20.0,258.25,34.0,62.0
5800.0,0,6.545454545,19.15151515,236.0477502,33.0,64.0
5900.0,0,8.35483871,21.87096774,338.3361082,31.0,62.0
6000.0,0,7.741935484,20.29032258,279.3766909,31.0,62.0
6100.0,0,5.096774194,18.32258065,206.33923,31.0,62.0
6200.0,0,6.0625,16.5,160.5039062,32.0,64.0
6300.0,0,7.59375,17.3125,190.1376953,32.0,64.0
6400.0,0,8.322580645,18.32258065,223.8210198,31.0,62.0
6500.0,0,7.625,18.71875,229.7822266,32.0,64.0
6600.0,0,6.794117647,19.11764706,236.350346,34.0,66.0
6700.0,0,6.914285714,21.2,304.3330612,35.0,64.0
6800.0,0,8.657142857,20.94285714,308.7493878,35.0,64.0
6900.0,0,8.586206897,18.55172414,232.7859691,29.0,64.0
7000.0,0,10.67741935,19.41935484,282.3444329,31.0,64.0
7100.0,0,7.666666667,20.15151515,274.3158861,33.0,64.0
7200.0,0,8.757575758,20.33333333,289.4123049,33.0,62.0
7300.0,0,8.34375,18.84375,239.2050781,32.0,64.0
7400.0,0,9.606060606,18.48484848,241.2387511,33.0,62.0
7500.0,0,9.914285714,18.68571429,250.6489796,35.0,64.0
7600.0,0,9.75,21.03125,323.1259766,32.0,64.0
7700.0,0,11.3030303,20.57575758,328.0899908,33.0,64.0
7800.0,0,10.375,18.96875,264.7041016,32.0,66.0
7900.0,0,9.939393939,21.75757576,350.6078972,33.0,64.0
8000.0,0,10.0,23.26470588,407.1288927,34.0,62.0
8100.0,0,9.151515152,22.6969697,376.1147842,33.0,64.0
8200.0,0,10.57575758,20.87878788,328.134068,33.0,64.0
8300.0,0,10.76666667,21.93333333,367.3922222,30.0,60.0
8400.0,0,10.21212121,23.45454545,417.0697888,33.0,62.0
8500.0,0,8.090909091,21.54545455,324.5785124,33.0,62.0
8600.0,0,9.34375,20.40625,297.7207031,32.0,64.0
8700.0,0,8.125,18.71875,233.6572266,32.0,64.0
8800.0,0,9.696969697,16.66666667,192.8999082,33.0,64.0
8900.0,0,11.88235294,15.88235294,203.3217993,34.0,64.0
9000.0,0,11.5,17.11111111,228.1512346,36.0,66.0
9100.0,0,12.42424242,16.15151515,218.6271809,33.0,66.0
9200.0,0,12.51515152,14.60606061,184.9963269,33.0,66.0
9300.0,0,12.625,13.21875,159.3759766,32.0,62.0
9400.0,0,11.59375,14.09375,159.5488281,32.0,64.0
9500.0,0,11.84848485,14.09090909,163.4251607,33.0,62.0
9600.0,0,13.375,13.71875,182.3447266,32.0,64.0
9700.0,0,12.375,14.59375,182.3681641,32.0,62.0
9800.0,0,11.62857143,11.77142857,118.5902041,35.0,64.0
9900.0,0,13.21212121,13.06060606,166.9577594,33.0,64.0
10000.0,0,10.78125,13.8125,142.2705078,32.0,64.0
0.0,1,4.0,4.0,0.0,37.0,64.0
100.0,1,6.064516129,3.709677419,4.346514048,31.0,62.0
200.0,1,6.411764706,3.882352941,5.830449827,34.0,64.0
300.0,1,4.774193548,5.225806452,2.101977107,31.0,64.0
400.0,1,3.606060606,4.666666667,0.5996326905,33.0,64.0
500.0,1,4.333333333,3.333333333,0.5555555556,33.0,64.0
600.0,1,4.090909091,4.848484848,0.7281910009,33.0,62.0
700.0,1,5.96875,4.34375,3.994140625,32.0,62.0
800.0,1,6.0,3.0,5.0,35.0,64.0
900.0,1,8.060606061,1.939393939,20.73461892,33.0,64.0
1000.0,1,8.0625,4.375,16.64453125,32.0,62.0
1100.0,1,8.612903226,4.548387097,21.57960458,31.0,62.0
1200.0,1,7.766666667,3.533333333,14.40555556,30.0,62.0
1300.0,1,6.096774194,1.838709677,9.067637877,31.0,62.0
1400.0,1,6.2,1.457142857,11.30612245,35.0,64.0
1500.0,1,5.676470588,3.294117647,3.308823529,34.0,66.0
1600.0,1,5.4,1.633333333,7.561111111,30.0,62.0
1700.0,1,6.272727273,0.3636363636,18.38842975,33.0,62.0
1800.0,1,6.941176471,1.058823529,17.30103806,34.0,64.0
1900.0,1,7.212121212,0.3939393939,23.32139578,33.0,64.0
2000.0,1,6.28125,1.25,12.76660156,32.0,62.0
2100.0,1,5.15625,2.28125,4.291015625,32.0,62.0
2200.0,1,3.90625,1.71875,5.212890625,32.0,62.0
2300.0,1,2.64516129,3.290322581,2.339229969,31.0,62.0
2400.0,1,2.64516129,3.35483871,2.25182102,31.0,62.0
2500.0,1,1.117647059,6.235294118,13.30449827,34.0,64.0
2600.0,1,1.548387097,6.64516129,13.00728408,31.0,64.0
2700.0,1,-0.08571428571,6.314285714,22.04897959,35.0,64.0
2800.0,1,-2.515151515,7.484848485,54.59136823,33.0,66.0
2900.0,1,-3.5,6.705882353,63.57179931,34.0,62.0
3000.0,1,-3.0,6.264705882,54.12889273,34.0,62.0
3100.0,1,-1.823529412,6.676470588,41.07698962,34.0,64.0
3200.0,1,-0.8064516129,7.161290323,33.09573361,31.0,64.0
3300.0,1,-1.5,7.0,39.25,32.0,62.0
3400.0,1,-1.096774194,4.838709677,26.6805411,31.0,62.0
3500.0,1,-1.181818182,2.212121212,30.04775023,33.0,64.0
3600.0,1,-0.59375,3.84375,21.12695312,32.0,64.0
3700.0,1,0.3636363636,4.272727273,13.29752066,33.0,62.0
3800.0,1,-0.78125,3.90625,22.86914062,32.0,64.0
3900.0,1,2.0,5.34375,5.805664062,32.0,64.0
4000.0,1,2.78125,4.21875,1.533203125,32.0,62.0
4100.0,1,2.84375,4.71875,1.853515625,32.0,62.0
4200.0,1,3.121212121,4.484848485,1.007346189,33.0,64.0
4300.0,1,0.2121212121,3.515151515,14.58310376,33.0,64.0
4400.0,1,0.5588235294,4.676470588,12.29930796,34.0,64.0
4500.0,1,-0.2727272727,5.363636364,20.11570248,33.0,62.0
4600.0,1,-1.875,5.8125,37.80078125,32.0,62.0
4700.0,1,-2.064516129,4.838709677,37.4817898,31.0,64.0
4800.0,1,-3.35483871,5.548387097,56.49115505,31.0,64.0
4900.0,1,-4.5,6.5,78.5,36.0,64.0
5000.0,1,-3.0,5.303030303,50.69788797,33.0,66.0
5100.0,1,-3.393939394,5.151515152,55.99632691,33.0,64.0
5200.0,1,-4.666666667,4.566666667,75.43222222,30.0,60.0
5300.0,1,-4.4375,5.0,72.19140625,32.0,62.0
5400.0,1,-4.0,4.935483871,64.87513007,31.0,62.0
5500.0,1,-2.617647059,4.323529412,43.89792388,34.0,64.0
5600.0,1,-1.588235294,5.176470588,32.61245675,34.0,64.0
5700.0,1,-4.264705882,6.0,72.30536332,34.0,62.0
5800.0,1,-4.676470588,6.294117647,80.54411765,34.0,64.0
5900.0,1,-6.114285714,6.228571429,107.2653061,35.0,66.0
6000.0,1,-6.375,5.5,109.890625,32.0,62.0
6100.0,1,-4.647058824,3.735294118,74.8416955,34.0,64.0
6200.0,1,-3.03030303,3.181818182,50.09458219,33.0,62.0
6300.0,1,-2.314285714,5.914285714,43.53469388,35.0,64.0
6400.0,1,-2.771428571,4.0,45.8522449,35.0,64.0
6500.0,1,-1.515151515,3.212121212,31.03764922,33.0,64.0
6600.0,1,-2.970588235,2.088235294,52.24394464,34.0,64.0
6700.0,1,-2.387096774,0.1935483871,55.28407908,31.0,62.0
6800.0,1,-1.387096774,0.935483871,38.41207076,31.0,62.0
6900.0,1,0.1612903226,2.0,18.73569199,31.0,64.0
7000.0,1,0.90625,2.71875,11.21289062,32.0,64.0
7100.0,1,-0.2941176471,4.5,18.68944637,34.0,62.0
7200.0,1,-0.2647058824,5.911764706,21.84256055,34.0,64.0
7300.0,1,-0.7419354839,6.032258065,26.61602497,31.0,62.0
7400.0,1,-2.03125,5.25,37.93847656,32.0,64.0
7500.0,1,-2.225806452,4.258064516,38.82726327,31.0,62.0
7600.0,1,-4.0,1.5,70.25,34.0,62.0
7700.0,1,-4.8125,0.40625,90.57519531,32.0,64.0
7800.0,1,-5.611111111,3.138888889,93.11496914,36.0,64.0
7900.0,1,-6.1,2.933333333,103.1477778,30.0,62.0
8000.0,1,-6.428571429,2.942857143,109.8726531,35.0,64.0
8100.0,1,-6.0,1.735294118,105.1288927,34.0,62.0
8200.0,1,-7.133333333,-0.3333333333,142.7288889,30.0,64.0
8300.0,1,-6.941176471,-1.794117647,153.2811419,34.0,64.0
8400.0,1,-7.655172414,-1.689655172,168.21522,29.0,62.0
8500.0,1,-8.588235294,-0.5882352941,179.5155709,34.0,64.0
8600.0,1,-7.515151515,0.1515151515,147.40955,33.0,62.0
8700.0,1,-5.379310345,0.5172413793,100.1010702,29.0,62.0
8800.0,1,-2.939393939,2.515151515,50.35996327,33.0,64.0
8900.0,1,-1.575757576,-0.303030303,49.60514233,33.0,64.0
9000.0,1,-3.0,-0.1612903226,66.31633715,31.0,64.0
9100.0,1,-4.125,-0.0625,82.51953125,32.0,62.0
9200.0,1,-3.612903226,0.06451612903,73.44432882,31.0,62.0
9300.0,1,-1.909090909,-0.0303030303,51.16069789,33.0,64.0
9400.0,1,-1.806451613,-0.1612903226,51.03121748,31.0,64.0
9500.0,1,-1.393939394,-0.5151515152,49.48117539,33.0,62.0
9600.0,1,-0.8484848485,0.0303030303,39.26629936,33.0,64.0
