time,id,com_1,com_2,area,surface
0.0,0,4.0,4.0,37.0,64.0
100.0,0,4.303030303,6.242424242,33.0,62.0
200.0,0,5.4,4.971428571,35.0,64.0
300.0,0,4.181818182,5.151515152,33.0,64.0
400.0,0,4.193548387,4.35483871,31.0,60.0
500.0,0,5.424242424,4.060606061,33.0,62.0
600.0,0,3.529411765,4.235294118,34.0,64.0
700.0,0,3.967741935,3.967741935,31.0,64.0
800.0,0,2.171428571,3.285714286,35.0,64.0
900.0,0,3.206896552,1.862068966,29.0,62.0
1000.0,0,4.0,3.228571429,35.0,64.0
1100.0,0,4.166666667,2.266666667,30.0,60.0
1200.0,0,3.333333333,0.7575757576,33.0,62.0
1300.0,0,2.5,0.25,32.0,62.0
1400.0,0,4.090909091,0.06060606061,33.0,64.0
1500.0,0,5.272727273,0.3939393939,33.0,64.0
1600.0,0,4.757575758,1.090909091,33.0,64.0
1700.0,0,5.34375,-0.3125,32.0,62.0
1800.0,0,6.096774194,-0.2580645161,31.0,62.0
1900.0,0,5.657142857,1.4,35.0,66.0
2000.0,0,5.428571429,-1.457142857,35.0,64.0
2100.0,0,5.363636364,-3.090909091,33.0,64.0
2200.0,0,6.606060606,-5.484848485,33.0,62.0
2300.0,0,5.176470588,-4.176470588,34.0,62.0
2400.0,0,6.088235294,-4.264705882,34.0,64.0
2500.0,0,3.625,-5.34375,32.0,62.0
2600.0,0,4.151515152,-6.484848485,33.0,62.0
2700.0,0,4.3125,-9.5,32.0,64.0
2800.0,0,3.766666667,-9.366666667,30.0,62.0
2900.0,0,3.0625,-7.46875,32.0,62.0
3000.0,0,4.0625,-7.15625,32.0,64.0
3100.0,0,3.875,-6.59375,32.0,64.0
3200.0,0,4.606060606,-7.818181818,33.0,64.0
3300.0,0,5.088235294,-8.588235294,34.0,64.0
3400.0,0,3.903225806,-9.838709677,31.0,62.0
3500.0,0,4.727272727,-8.424242424,33.0,64.0
3600.0,0,3.65625,-8.6875,32.0,62.0
3700.0,0,4.942857143,-8.057142857,35.0,64.0
3800.0,0,5.636363636,-7.818181818,33.0,64.0
3900.0,0,4.454545455,-9.090909091,33.0,62.0
4000.0,0,4.28125,-9.25,32.0,62.0
4100.0,0,2.705882353,-9.852941176,34.0,64.0
4200.0,0,1.545454545,-11.09090909,33.0,62.0
4300.0,0,3.1875,-11.65625,32.0,64.0
4400.0,0,4.676470588,-10.85294118,34.0,64.0
4500.0,0,3.8125,-11.25,32.0,62.0
4600.0,0,4.771428571,-13.25714286,35.0,64.0
4700.0,0,5.03030303,-13.18181818,33.0,62.0
4800.0,0,6.233333333,-11.06666667,30.0,62.0
4900.0,0,3.03030303,-9.424242424,33.0,66.0
5000.0,0,3.303030303,-9.515151515,33.0,64.0
5100.0,0,3.970588235,-10.79411765,34.0,66.0
5200.0,0,4.09375,-11.25,32.0,64.0
5300.0,0,3.272727273,-9.818181818,33.0,62.0
5400.0,0,1.647058824,-8.647058824,34.0,64.0
