time,id,com_1,com_2,area,surface
0,1,50,50,1,8
100,1,54.34375,48.40625,32,64
200,1,56.9677419354839,46.6129032258064,31,64
300,1,60.5151515151515,45.7575757575757,33,64
400,1,61.6129032258065,45.1935483870968,31,62
500,1,64.6857142857143,45.8857142857143,35,64
600,1,67.78125,45.65625,32,62
700,1,69.5882352941177,46.3529411764706,34,64
800,1,72.1818181818182,46.6363636363636,33,64
900,1,76.6176470588235,46.7058823529412,34,64
1000,1,80.1818181818182,47.6666666666667,33,64
1100,1,81.6363636363636,48.3333333333333,33,64
1200,1,84,49.7096774193548,31,64
1300,1,86.9,51.2333333333333,30,62
1400,1,90.4193548387097,53.741935483871,31,62
1500,1,93.34375,52.625,32,62
1600,1,96.7272727272727,52.5151515151515,33,64
1700,1,98.3636363636364,52,33,64
1800,1,101.727272727273,53.3333333333333,33,64
1900,1,105.666666666667,52.0606060606061,33,64
2000,1,108.4,52.6857142857143,35,64
2100,1,110.228571428571,53.6285714285714,35,66
2200,1,113.363636363636,54.030303030303,33,64
2300,1,115.967741935484,54.741935483871,31,62
2400,1,116.942857142857,54.8857142857143,35,64
2500,1,117.757575757576,55.3333333333333,33,62
2600,1,121,57.21875,32,62
2700,1,124.147058823529,55.8823529411765,34,64
2800,1,123.909090909091,53.969696969697,33,64
2900,1,126.764705882353,55.7352941176471,34,66
3000,1,130.096774193548,57.8064516129032,31,62
3100,1,133.903225806452,58.3870967741936,31,62
3200,1,135.5,58.8125,32,62
3300,1,139.78125,58.46875,32,62
3400,1,143.666666666667,59.8787878787879,33,64
3500,1,147.625,59.09375,32,64
3600,1,151.771428571429,61.0857142857143,35,66
3700,1,155.181818181818,63.8181818181818,33,66
3800,1,158.30303030303,64.5454545454545,33,64
3900,1,159,64.7333333333333,30,64
4000,1,160.028571428571,66.6571428571429,35,66
4100,1,162.588235294118,67.5,34,64
4200,1,163.666666666667,66.7878787878788,33,64
4300,1,167.257142857143,65.9428571428572,35,68
4400,1,168.885714285714,64.8857142857143,35,64
4500,1,170.5,64.125,32,62
4600,1,173.28125,65.625,32,62
4700,1,174.352941176471,67.7941176470588,34,64
4800,1,177.393939393939,66.7878787878788,33,64
4900,1,183.483870967742,67.2903225806452,31,62
5000,1,186.470588235294,66.7647058823529,34,64
5100,1,189.3125,67.46875,32,64
5200,1,191.147058823529,67.7352941176471,34,64
5300,1,193.90625,67.9375,32,62
5400,1,195.548387096774,69.1935483870968,31,60
5500,1,197.3125,69.03125,32,66
5600,1,199.290322580645,68.2903225806452,31,64
5700,1,201.30303030303,68.8787878787879,33,64
5800,1,203.75,69.71875,32,62
5900,1,206.121212121212,72.0909090909091,33,64
6000,1,208.34375,71.90625,32,62
6100,1,210.3125,73.15625,32,62
6200,1,212.485714285714,72.4,35,64
6300,1,213.387096774194,71.9354838709678,31,62
6400,1,215.885714285714,71.6857142857143,35,66
6500,1,217.970588235294,70.6176470588235,34,64
6600,1,220.529411764706,72.7647058823529,34,64
6700,1,224.875,72.96875,32,64
6800,1,227,71.6857142857143,35,66
6900,1,232.193548387097,71.6129032258064,31,62
7000,1,234.121212121212,72.4242424242424,33,64
7100,1,238.235294117647,72.2058823529412,34,64
7200,1,241.612903225806,74.3870967741936,31,62
7300,1,245.242424242424,75.8787878787879,33,66
7400,1,248.965517241379,76.7241379310345,29,62
7500,1,252.029411764706,77.6764705882353,34,64
7600,1,256.0625,77.40625,32,64
7700,1,260.484848484848,79.0909090909091,33,66
7800,1,261.058823529412,80.1176470588236,34,64
7900,1,264.575757575758,80.6666666666667,33,64
8000,1,268.545454545455,80.2121212121212,33,62
8100,1,270.5,81,32,62
8200,1,271.4,80.7714285714286,35,66
8300,1,273.8125,79.71875,32,62
8400,1,278.709677419355,81.4193548387097,31,62
8500,1,281.366666666667,82.2666666666667,30,62
8600,1,282.484848484848,81.6060606060606,33,62
8700,1,285.771428571429,82.3714285714286,35,64
8800,1,286.870967741935,81.6774193548387,31,62
8900,1,288.117647058824,80.9117647058824,34,66
9000,1,290.125,79.5625,32,66
9100,1,292.90625,78.875,32,64
9200,1,296.032258064516,76.6129032258064,31,62
9300,1,300.352941176471,75.5294117647059,34,64
9400,1,303.424242424242,75.7575757575758,33,62
9500,1,304.823529411765,77.235294117647,34,64
9600,1,308.193548387097,76.5483870967742,31,64
9700,1,310.9375,74.9375,32,62
9800,1,314.852941176471,74.735294117647,34,64
9900,1,319.242424242424,76.3636363636364,33,64
10000,1,323.34375,76.09375,32,62
0,2,50,50,1,8
100,2,53.5333333333333,49.9666666666667,30,62
200,2,55.1875,49.4375,32,62
300,2,57.3030303030303,49.4242424242424,33,66
400,2,59.9705882352941,49.1176470588235,34,66
500,2,62.6060606060606,47.0909090909091,33,64
600,2,63.5161290322581,48.2258064516129,31,62
700,2,66.65625,47.40625,32,62
800,2,69.030303030303,49,33,66
900,2,72.40625,50.03125,32,62
1000,2,77.5757575757576,49.7878787878788,33,64
1100,2,79.7058823529412,47.7941176470588,34,64
1200,2,83.0606060606061,47.5757575757576,33,62
1300,2,85.4242424242424,48.6969696969697,33,64
1400,2,88.3333333333333,48.5757575757576,33,62
1500,2,91.7096774193548,46.5483870967742,31,62
1600,2,92.735294117647,44.8529411764706,34,64
1700,2,94.8484848484849,45.9090909090909,33,64
1800,2,97.2,45.5666666666667,30,64
1900,2,101.694444444444,45.0833333333333,36,66
2000,2,104.314285714286,47.1142857142857,35,64
2100,2,108.393939393939,45.6666666666667,33,64
2200,2,111.514285714286,45.8857142857143,35,64
2300,2,115.242424242424,44.9090909090909,33,62
2400,2,117,42.5625,32,62
2500,2,119.548387096774,41.6451612903226,31,62
2600,2,122.375,40.65625,32,62
2700,2,125.15625,40.03125,32,64
2800,2,129.545454545455,40.8787878787879,33,66
2900,2,133.294117647059,40.5,34,62
3000,2,136.129032258065,40.258064516129,31,64
3100,2,139.9,40.5,30,62
3200,2,143.28125,40.5625,32,64
3300,2,145.885714285714,40.4857142857143,35,64
3400,2,145.59375,39.96875,32,64
3500,2,149.59375,39.71875,32,62
3600,2,152.181818181818,39.6060606060606,33,66
3700,2,153.861111111111,39.6944444444444,36,66
3800,2,156.484848484848,39.7575757575758,33,64
3900,2,161.3125,41.46875,32,62
4000,2,164.545454545455,40.7878787878788,33,62
4100,2,169,40.78125,32,64
4200,2,173.151515151515,42.9090909090909,33,62
4300,2,175.709677419355,41.8709677419355,31,60
4400,2,178.875,40.25,32,64
4500,2,181.387096774194,40.5161290322581,31,62
4600,2,186.205882352941,39,34,64
4700,2,189.285714285714,37.8285714285714,35,64
4800,2,193.757575757576,36.9393939393939,33,64
4900,2,197.866666666667,35.8,30,64
5000,2,199.571428571429,35.4571428571428,35,64
5100,2,203.970588235294,34.7647058823529,34,64
5200,2,206.34375,36.09375,32,62
5300,2,210.030303030303,36.1212121212121,33,64
5400,2,213.764705882353,37.3823529411765,34,64
5500,2,215.970588235294,37.9705882352941,34,64
5600,2,218.645161290323,39.3548387096774,31,62
5700,2,219.4375,40.25,32,64
5800,2,224.125,42.03125,32,64
5900,2,227.9375,41.96875,32,66
6000,2,231.848484848485,42.5151515151515,33,62
6100,2,235.117647058824,42.3529411764706,34,66
6200,2,238.0625,43.84375,32,62
6300,2,240.09375,45.96875,32,64
6400,2,242.088235294118,45.2941176470588,34,66
6500,2,245.205882352941,44.2352941176471,34,64
6600,2,249.212121212121,43.8484848484849,33,64
6700,2,251.3125,43.40625,32,62
6800,2,251.294117647059,44.5,34,62
6900,2,254.371428571429,43.4285714285714,35,64
7000,2,257.0625,43.0625,32,62
7100,2,260,42,29,60
7200,2,261.727272727273,43.2424242424242,33,66
7300,2,265.575757575758,45.1515151515151,33,64
7400,2,267,45.7878787878788,33,64
7500,2,270.451612903226,43.6774193548387,31,62
7600,2,272.424242424242,42.9393939393939,33,62
7700,2,277.266666666667,41.7666666666667,30,64
7800,2,280.59375,43.09375,32,64
7900,2,282.46875,42.75,32,62
8000,2,283.823529411765,43.5,34,64
8100,2,286.970588235294,42.7058823529412,34,64
8200,2,289.060606060606,41.5757575757576,33,64
8300,2,292.46875,43.53125,32,62
8400,2,294.272727272727,42.3636363636364,33,62
8500,2,296.125,42.46875,32,66
8600,2,297.967741935484,41.1935483870968,31,62
8700,2,301.03125,40.25,32,66
8800,2,304.363636363636,41.6363636363636,33,64
8900,2,305.78125,41.46875,32,64
9000,2,307.34375,41.625,32,64
9100,2,309.647058823529,42.2941176470588,34,64
9200,2,311.090909090909,42.6363636363636,33,64
9300,2,315.272727272727,43.6363636363636,33,62
9400,2,317.433333333333,41.9333333333333,30,62
9500,2,317.96875,39.75,32,64
9600,2,321.484848484848,41.1818181818182,33,64
9700,2,322.424242424242,43.7272727272727,33,64
9800,2,326.4375,43.875,32,64
9900,2,329.939393939394,42.2424242424242,33,64
10000,2,333.794117647059,39.735294117647,34,64
0,3,51,50,3,20
100,3,54.8125,49.34375,32,64
200,3,57.1176470588235,47.5882352941176,34,64
300,3,59.0857142857143,48.9142857142857,35,66
400,3,61.8823529411765,48.7941176470588,34,64
500,3,64.8235294117647,48.5882352941176,34,64
600,3,69.8235294117647,50.1764705882353,34,62
700,3,72.46875,49.84375,32,62
800,3,77.3125,49.03125,32,64
900,3,80.0909090909091,49.8484848484849,33,64
1000,3,83.8235294117647,49.3823529411765,34,64
1100,3,85.8125,49.78125,32,62
1200,3,88.8285714285714,50.5428571428571,35,66
1300,3,90.8181818181818,51.969696969697,33,62
1400,3,96.7647058823529,53.9117647058823,34,64
1500,3,100.483870967742,54.6129032258065,31,62
1600,3,103.647058823529,55.3529411764706,34,64
1700,3,107.5,56.625,32,64
1800,3,107.1875,59.5625,32,62
1900,3,111.088235294118,60.5882352941176,34,64
2000,3,112.151515151515,62.4848484848485,33,62
2100,3,117.5625,60.90625,32,64
2200,3,120.484848484848,62.1515151515151,33,62
2300,3,122.705882352941,62.6470588235294,34,64
2400,3,125.225806451613,62.4193548387097,31,64
2500,3,128.84375,62.0625,32,62
2600,3,131.69696969697,62,33,64
2700,3,134.823529411765,61.8235294117647,34,62
2800,3,138.8,60.4,30,62
2900,3,140.636363636364,58.6666666666667,33,64
3000,3,142.757575757576,58.1818181818182,33,64
3100,3,144.5,58,34,62
3200,3,147.466666666667,59.2,30,64
3300,3,150.757575757576,59.9090909090909,33,66
3400,3,151.676470588235,59.0882352941177,34,64
3500,3,155.617647058824,60.0588235294118,34,64
3600,3,158.757575757576,60.4242424242424,33,62
3700,3,162.060606060606,55.4242424242424,33,62
3800,3,165.515151515152,57.3939393939394,33,64
3900,3,167.451612903226,57.0322580645161,31,66
4000,3,169.633333333333,56.7333333333333,30,64
4100,3,171.151515151515,58.7272727272727,33,62
4200,3,173.967741935484,58.1935483870968,31,64
4300,3,175.176470588235,61.5,34,64
4400,3,176,60.5,32,62
4500,3,178.34375,60,32,66
4600,3,180.294117647059,61.6176470588235,34,66
4700,3,184.806451612903,62.4193548387097,31,62
4800,3,187.266666666667,63.2,30,60
4900,3,189.09375,63.96875,32,62
5000,3,193.181818181818,64.2727272727273,33,62
5100,3,195.294117647059,64.5,34,62
5200,3,197,64.5454545454545,33,64
5300,3,200.65625,62.53125,32,64
5400,3,201.606060606061,62.2121212121212,33,64
5500,3,205.354838709677,60.2258064516129,31,64
5600,3,205.764705882353,61.8235294117647,34,64
5700,3,209.125,61.0625,32,66
5800,3,211.424242424242,59.6666666666667,33,62
5900,3,213.909090909091,59.9090909090909,33,64
6000,3,216.870967741935,59.4516129032258,31,62
6100,3,219.666666666667,58.4545454545454,33,64
6200,3,223.363636363636,57.8181818181818,33,64
6300,3,224.454545454545,56,33,64
6400,3,228.545454545455,56.969696969697,33,64
6500,3,229.666666666667,55.0606060606061,33,62
6600,3,231.878787878788,53.5151515151515,33,64
6700,3,232.75,53.15625,32,64
6800,3,234.15625,53.28125,32,62
6900,3,237,51.7647058823529,34,66
7000,3,241.903225806452,51.8709677419355,31,62
7100,3,244.757575757576,52.030303030303,33,64
7200,3,248.823529411765,51.8235294117647,34,62
7300,3,252.818181818182,51.5454545454545,33,64
7400,3,253.9375,51.40625,32,64
7500,3,258.558823529412,50.2058823529412,34,66
7600,3,262.588235294118,49.6176470588235,34,64
7700,3,267.090909090909,51.2424242424242,33,62
7800,3,270.606060606061,50.4848484848485,33,64
7900,3,273.8,49.9142857142857,35,64
8000,3,275.424242424242,48.5454545454546,33,64
8100,3,277.7,47.6,30,62
8200,3,278.257142857143,45.8,35,66
8300,3,280.533333333333,43.7666666666667,30,64
8400,3,283.5625,44.40625,32,64
8500,3,284.21875,45.46875,32,64
8600,3,288.41935483871,44.3225806451613,31,62
8700,3,291.818181818182,43.969696969697,33,62
8800,3,295.147058823529,41.235294117647,34,64
8900,3,295.515151515152,42.8484848484849,33,62
9000,3,300.393939393939,42.969696969697,33,64
9100,3,301.636363636364,41.969696969697,33,64
9200,3,303.69696969697,41,33,64
9300,3,306.75,40.6875,32,64
9400,3,309.032258064516,39.8064516129032,31,62
9500,3,311.333333333333,39.9444444444444,36,66
9600,3,313.96875,40.9375,32,64
9700,3,316,40.25,32,64
9800,3,319.764705882353,40.9117647058823,34,64
9900,3,323.225806451613,41.6774193548387,31,64
10000,3,326.352941176471,44,34,64
0,4,50.5,50,4,22
100,4,52.4193548387097,51.4193548387097,31,64
200,4,55.1818181818182,51.2424242424242,33,64
300,4,55.5882352941177,52.8235294117647,34,64
400,4,58.5757575757576,50.2727272727273,33,64
500,4,60.7096774193548,50.8064516129032,31,62
600,4,62.65625,53.34375,32,64
700,4,64.2903225806452,55.4193548387097,31,62
800,4,67.7741935483871,54.9677419354839,31,62
900,4,69.6176470588235,54.9705882352941,34,64
1000,4,72.8857142857143,55.2571428571429,35,64
1100,4,76.2424242424242,54.2121212121212,33,64
1200,4,79.9117647058823,54.7352941176471,34,64
1300,4,81.09375,54.40625,32,64
1400,4,82.3030303030303,56.0909090909091,33,62
1500,4,85.5294117647059,55.0588235294118,34,64
1600,4,88.8181818181818,55.7272727272727,33,62
1700,4,90.7714285714286,56.8,35,66
1800,4,93.8709677419355,55.4516129032258,31,64
1900,4,96.516129032258,59.8387096774194,31,62
2000,4,99.2424242424242,59.5757575757576,33,62
2100,4,102.558823529412,59.4411764705882,34,64
2200,4,106.233333333333,58.4333333333333,30,62
2300,4,111.235294117647,55.2647058823529,34,66
2400,4,113.606060606061,56.5151515151515,33,62
2500,4,117.5,54.7058823529412,34,62
2600,4,120.212121212121,53.2121212121212,33,66
2700,4,122.666666666667,54.0606060606061,33,62
2800,4,125.969696969697,52.8181818181818,33,64
2900,4,129.558823529412,53,34,66
3000,4,132.606060606061,54.6969696969697,33,66
3100,4,135.8125,55.5625,32,62
3200,4,138.6,56.3142857142857,35,64
3300,4,141.647058823529,56.3235294117647,34,64
3400,4,144.030303030303,56,33,64
3500,4,148.818181818182,58.3636363636364,33,64
3600,4,151.354838709677,58.6129032258064,31,62
3700,4,156.030303030303,60.3939393939394,33,64
3800,4,159.741935483871,57.9677419354839,31,64
3900,4,162.030303030303,58.1818181818182,33,62
4000,4,165.454545454545,59,33,64
4100,4,167.088235294118,59.4117647058823,34,64
4200,4,168.5,58.1333333333333,30,62
4300,4,171,58.4545454545454,33,64
4400,4,174.444444444444,58.3611111111111,36,66
4500,4,177.129032258065,58.3548387096774,31,62
4600,4,177.0625,58.875,32,64
4700,4,178.971428571429,58.8285714285714,35,64
4800,4,179.969696969697,59.030303030303,33,66
4900,4,183.4375,60.53125,32,62
5000,4,185.424242424242,59.0606060606061,33,64
5100,4,189.3,61.3666666666667,30,60
5200,4,194.085714285714,61.8571428571428,35,64
5300,4,197,60.84375,32,62
5400,4,198.970588235294,60.0294117647059,34,64
5500,4,199.78125,58.75,32,64
5600,4,203.151515151515,60.9090909090909,33,62
5700,4,205.852941176471,61.3529411764706,34,64
5800,4,209.5,61.5,34,64
5900,4,214.1875,62,32,62
6000,4,216.941176470588,62.2647058823529,34,66
6100,4,219.333333333333,61.6969696969697,33,64
6200,4,223.457142857143,61.8,35,64
6300,4,226.935483870968,60.5806451612903,31,60
6400,4,229.65625,61.53125,32,62
6500,4,232.40625,62.84375,32,64
6600,4,233.875,63.84375,32,62
6700,4,238.21875,64.40625,32,64
6800,4,241.454545454545,64.060606060606,33,66
6900,4,247.34375,66.3125,32,64
7000,4,249.933333333333,65.7,30,62
7100,4,252.228571428571,67,35,64
7200,4,256.818181818182,67.3939393939394,33,64
7300,4,257.9375,67.75,32,64
7400,4,260.757575757576,66.9090909090909,33,64
7500,4,264.166666666667,65.1333333333333,30,62
7600,4,267.25,64.125,32,64
7700,4,271.15625,65.0625,32,62
7800,4,275.205882352941,66.5588235294118,34,64
7900,4,278.032258064516,66.7741935483871,31,62
8000,4,281.485714285714,65.2,35,66
8100,4,286.085714285714,64.7714285714286,35,64
8200,4,286.882352941176,62.1470588235294,34,64
8300,4,288.382352941176,61.8529411764706,34,64
8400,4,293.323529411765,61.5588235294118,34,66
8500,4,296.612903225806,61.9032258064516,31,64
8600,4,297.896551724138,65.1034482758621,29,62
8700,4,301.225806451613,67.1935483870968,31,64
8800,4,304.30303030303,70.6969696969697,33,64
8900,4,306.71875,70.25,32,62
9000,4,308.8125,68.75,32,62
9100,4,313.65625,67.8125,32,64
9200,4,316.766666666667,67.1666666666667,30,62
9300,4,321.342857142857,67.7714285714286,35,64
9400,4,323.666666666667,68.0606060606061,33,62
9500,4,327.5625,68.78125,32,66
9600,4,330.5625,67.5625,32,62
9700,4,333.90625,69.5,32,62
9800,4,335.909090909091,70.2727272727273,33,64
9900,4,338.15625,69.65625,32,64
10000,4,342.903225806452,69.2903225806452,31,62
0,5,49.3333333333333,49.6666666666667,3,18
100,5,54.96875,47.6875,32,64
200,5,55.8787878787879,50.3030303030303,33,66
300,5,57.2727272727273,52.3030303030303,33,64
400,5,61.3235294117647,51.4411764705882,34,64
500,5,65.6129032258065,51.8064516129032,31,64
600,5,69.03125,51.59375,32,66
700,5,72,52.90625,32,62
800,5,73.969696969697,52.3939393939394,33,66
900,5,76.40625,53.65625,32,64
1000,5,77.4,54.5,30,62
1100,5,82.46875,55.53125,32,62
1200,5,86.6451612903226,54.741935483871,31,62
1300,5,89.625,53.8125,32,64
1400,5,91.9666666666666,52.8666666666667,30,64
1500,5,96.8333333333333,54.8333333333333,30,62
1600,5,99.4375,55.5625,32,62
1700,5,103.617647058824,58.4117647058824,34,64
1800,5,106.322580645161,58.6774193548387,31,62
1900,5,108.484848484848,59.1515151515151,33,62
2000,5,108.714285714286,60.1428571428571,35,66
2100,5,111.757575757576,59.6666666666667,33,64
2200,5,114.967741935484,59.5806451612903,31,64
2300,5,117.69696969697,58,33,64
2400,5,120.5,59,34,62
2500,5,120.59375,59,32,62
2600,5,124.366666666667,59.4666666666667,30,62
2700,5,128.121212121212,57.8484848484849,33,64
2800,5,130.9375,57.15625,32,62
2900,5,130.65625,56.40625,32,64
3000,5,133.114285714286,57.9428571428571,35,64
3100,5,136,57.4516129032258,31,62
3200,5,138.193548387097,57.3548387096774,31,62
3300,5,143.866666666667,55.5333333333333,30,62
3400,5,148.483870967742,57.7741935483871,31,62
3500,5,151.866666666667,58.4666666666667,30,64
3600,5,157.5,56.7058823529412,34,62
3700,5,162.647058823529,55.5,34,64
3800,5,165.909090909091,56.3636363636364,33,66
3900,5,168.060606060606,55.2424242424242,33,64
4000,5,169.852941176471,54.4117647058823,34,64
4100,5,173.129032258065,53.3870967741936,31,64
4200,5,175.666666666667,53.9393939393939,33,62
4300,5,179.366666666667,54.1,30,62
4400,5,180.428571428571,54.5428571428571,35,64
4500,5,183,53.5,32,62
4600,5,186.058823529412,52.5294117647059,34,64
4700,5,188.5,54.09375,32,66
4800,5,193.027777777778,52.6944444444444,36,64
4900,5,192.060606060606,49.8787878787879,33,66
5000,5,194.225806451613,48.1612903225806,31,64
5100,5,198.71875,47.25,32,62
5200,5,201.71875,46.25,32,64
5300,5,203.833333333333,46.9333333333333,30,62
5400,5,204.838709677419,46.5483870967742,31,62
5500,5,207.78125,46.40625,32,64
5600,5,210.90625,45.46875,32,64
5700,5,213.0625,45.5625,32,62
5800,5,216.030303030303,47.1212121212121,33,64
5900,5,220.71875,46,32,64
6000,5,226.393939393939,45,33,64
6100,5,228.787878787879,45.7575757575758,33,66
6200,5,231.933333333333,45.5333333333333,30,64
6300,5,233.972222222222,46.3055555555556,36,64
6400,5,236.903225806452,45,31,66
6500,5,242.90625,43.34375,32,62
6600,5,243.606060606061,42.2121212121212,33,64
6700,5,247.03125,41.46875,32,62
6800,5,248.03125,42.90625,32,62
6900,5,252.205882352941,42.9117647058823,34,64
7000,5,254.258064516129,44.8064516129032,31,64
7100,5,255.558823529412,46.5294117647059,34,64
7200,5,258.848484848485,45.3636363636364,33,64
7300,5,260.885714285714,47.4857142857143,35,64
7400,5,263.909090909091,47.6969696969697,33,62
7500,5,268.235294117647,45.4705882352941,34,64
7600,5,268.3125,45.0625,32,64
7700,5,270.058823529412,42.7647058823529,34,64
7800,5,271,41.5333333333333,30,62
7900,5,274.606060606061,41.4545454545454,33,64
8000,5,278.5,40,36,66
8100,5,281,39.4375,32,62
8200,5,283.65625,38.125,32,64
8300,5,285.387096774194,36.4193548387097,31,62
