time,id,com_1,com_2,area,surface
100,0,56.2955,49.859504,222.34,52.86
200,0,62.5362,50.146895,222.34,52.86
300,0,68.7375,50.099332,222.34,52.86
400,0,75.1878,49.724264,222.34,52.86
500,0,81.5289,49.591619,222.34,52.86
600,0,87.9442,49.447118,222.34,52.86
700,0,94.2113,49.387363,222.34,52.86
800,0,100.48,49.288138000000004,222.34,52.86
900,0,106.932,49.134841,222.34,52.86
1000,0,113.179,49.230784,222.34,52.86
1100,0,119.546,49.357966,222.34,52.86
1200,0,125.904,49.337411,222.34,52.86
1300,0,132.247,49.416154,222.34,52.86
1400,0,138.675,49.292824,222.34,52.86
1500,0,145.181,49.482981,222.34,52.86
1600,0,151.557,49.496292,222.34,52.86
1700,0,157.944,49.102057,222.34,52.86
1800,0,164.425,48.88492,222.34,52.86
1900,0,170.646,48.84732,222.34,52.86
2000,0,176.998,49.294112,222.34,52.86
2100,0,183.331,49.403218,222.34,52.86
2200,0,189.846,49.357034,222.34,52.86
2300,0,196.081,49.551712,222.34,52.86
2400,0,202.414,49.573434,222.34,52.86
2500,0,208.748,49.387842,222.34,52.86
2600,0,215.135,49.78969,222.34,52.86
2700,0,221.349,50.114729,222.34,52.86
2800,0,227.677,49.9297282,222.34,52.86
2900,0,233.956,49.72716,222.34,52.86
3000,0,240.401,49.715086,222.34,52.86
3100,0,246.753,49.699247,222.34,52.86
3200,0,253.048,49.193178,222.34,52.86
3300,0,259.485,48.96986,222.34,52.86
3400,0,265.767,48.72517,222.34,52.86
3500,0,272.232,48.70547,222.34,52.86
3600,0,278.586,48.5154,222.34,52.86
3700,0,285.029,48.09802,222.34,52.86
3800,0,291.446,47.91344,222.34,52.86
3900,0,297.881,47.71739,222.34,52.86
4000,0,304.049,47.60158,222.34,52.86
4100,0,310.32,47.50021,222.34,52.86
4200,0,316.718,47.48299,222.34,52.86
4300,0,323.244,47.74866,222.34,52.86
4400,0,329.67,47.50755,222.34,52.86
4500,0,335.979,47.68322,222.34,52.86
4600,0,342.403,47.82738,222.34,52.86
4700,0,348.76,48.2171,222.34,52.86
4800,0,354.973,48.29027,222.34,52.86
4900,0,361.377,48.34617,222.34,52.86
5000,0,367.676,48.14505,222.34,52.86
5100,0,374.1,48.07642,222.34,52.86
5200,0,380.451,48.15906,222.34,52.86
5300,0,386.776,47.98674,222.34,52.86
5400,0,392.991,48.163759999999996,222.34,52.86
5500,0,399.303,47.93651,222.34,52.86
5600,0,405.575,48.07031,222.34,52.86
5700,0,411.855,47.9463,222.34,52.86
5800,0,418.431,47.97278,222.34,52.86
5900,0,424.753,48.18315,222.34,52.86
6000,0,431.158,48.23931,222.34,52.86
6100,0,437.453,48.23726,222.34,52.86
6200,0,443.946,48.35018,222.34,52.86
6300,0,450.426,48.36874,222.34,52.86
6400,0,456.877,48.655,222.34,52.86
6500,0,463.2,48.45352,222.34,52.86
6600,0,469.454,48.35525,222.34,52.86
6700,0,475.82,48.32743,222.34,52.86
6800,0,482.259,48.39846,222.34,52.86
6900,0,488.718,48.41363,222.34,52.86
7000,0,495.115,48.2549,222.34,52.86
7100,0,501.421,48.27587,222.34,52.86
7200,0,507.91,48.03603,222.34,52.86
7300,0,514.375,48.05364,222.34,52.86
7400,0,520.951,47.65002,222.34,52.86
7500,0,527.467,48.01171,222.34,52.86
7600,0,533.799,48.03177,222.34,52.86
7700,0,540.272,48.1544,222.34,52.86
7800,0,546.634,48.15644,222.34,52.86
7900,0,552.96,48.01776,222.34,52.86
8000,0,559.274,48.14016,222.34,52.86
8100,0,565.647,47.86733,222.34,52.86
8200,0,571.901,47.98526,222.34,52.86
8300,0,578.357,47.81532,222.34,52.86
8400,0,584.834,48.02465,222.34,52.86
8500,0,591.241,47.82672,222.34,52.86
8600,0,597.562,47.77995,222.34,52.86
8700,0,603.927,47.93566,222.34,52.86
8800,0,610.323,48.13032,222.34,52.86
8900,0,616.637,48.12415,222.34,52.86
9000,0,622.983,48.07035,222.34,52.86
9100,0,629.389,48.15357,222.34,52.86
9200,0,635.656,48.40804,222.34,52.86
9300,0,642.053,48.42015,222.34,52.86
9400,0,648.612,48.58106,222.34,52.86
9500,0,654.917,48.39475,222.34,52.86
9600,0,661.148,48.58598,222.34,52.86
9700,0,667.465,48.1939,222.34,52.86
9800,0,673.954,48.06203,222.34,52.86
9900,0,680.393,47.745490000000004,222.34,52.86
10000,0,686.665,47.49632,222.34,52.86
100,1,56.4235,49.980349,222.34,52.86
200,1,62.7001,49.703488,222.34,52.86
300,1,69.1452,49.609809,222.34,52.86
400,1,75.6403,49.334714,222.34,52.86
500,1,82.0302,49.040392,222.34,52.86
600,1,88.459,49.181078,222.34,52.86
700,1,94.7554,48.64734,222.34,52.86
800,1,101.096,48.32507,222.34,52.86
900,1,107.59,47.98235,222.34,52.86
1000,1,114.058,47.97681,222.34,52.86
1100,1,120.36,48.09244,222.34,52.86
1200,1,126.642,48.25425,222.34,52.86
1300,1,132.958,48.54113,222.34,52.86
1400,1,139.431,48.4203,222.34,52.86
1500,1,145.952,48.27168,222.34,52.86
1600,1,152.341,48.24521,222.34,52.86
1700,1,158.604,48.10089,222.34,52.86
1800,1,164.846,47.83398,222.34,52.86
1900,1,171.33,47.89098,222.34,52.86
2000,1,177.692,47.7219,222.34,52.86
2100,1,184.279,47.65861,222.34,52.86
2200,1,190.747,47.68391,222.34,52.86
2300,1,197.141,47.86564,222.34,52.86
2400,1,203.394,48.03592,222.34,52.86
2500,1,209.956,48.18012,222.34,52.86
2600,1,216.408,47.77246,222.34,52.86
2700,1,222.661,47.98931,222.34,52.86
2800,1,228.951,48.17132,222.34,52.86
2900,1,235.248,48.05144,222.34,52.86
3000,1,241.599,47.68495,222.34,52.86
3100,1,248.002,47.44247,222.34,52.86
3200,1,254.329,47.57326,222.34,52.86
3300,1,260.834,47.61061,222.34,52.86
3400,1,267.383,47.56518,222.34,52.86
3500,1,273.644,47.62871,222.34,52.86
3600,1,279.807,47.93714,222.34,52.86
3700,1,286.081,47.85412,222.34,52.86
3800,1,292.453,48.12888,222.34,52.86
3900,1,298.893,48.31317,222.34,52.86
4000,1,305.422,48.35108,222.34,52.86
4100,1,311.832,48.43589,222.34,52.86
4200,1,318.18,48.70485,222.34,52.86
4300,1,324.423,48.40608,222.34,52.86
4400,1,330.863,48.6224,222.34,52.86
4500,1,337.142,48.52381,222.34,52.86
4600,1,343.443,48.48042,222.34,52.86
4700,1,349.752,48.72553,222.34,52.86
4800,1,356.09,48.77594,222.34,52.86
4900,1,362.302,49.474378,222.34,52.86
5000,1,368.677,49.543751,222.34,52.86
5100,1,375.035,49.486894,222.34,52.86
5200,1,381.435,50.0261069,222.34,52.86
5300,1,387.843,50.240367,222.34,52.86
