time,id,com_1,com_2,area,surface
100,0,55.8643,51.3105,222.34,52.86
200,0,62.3954,51.4483,222.34,52.86
300,0,68.244,51.3833,222.34,52.86
400,0,74.6699,51.0135,222.34,52.86
500,0,80.6466,50.1434,222.34,52.86
600,0,86.8204,50.2855,222.34,52.86
700,0,93.2818,50.7211,222.34,52.86
800,0,100.042,49.8952,222.34,52.86
900,0,106.29,49.7809,222.34,52.86
1000,0,112.634,50.1768,222.34,52.86
1100,0,118.587,50.2451,222.34,52.86
1200,0,124.905,50.5015,222.34,52.86
1300,0,130.974,50.5955,222.34,52.86
1400,0,137.335,51.1505,222.34,52.86
1500,0,143.9,51.622,222.34,52.86
1600,0,149.911,52.0668,222.34,52.86
1700,0,155.986,51.7733,222.34,52.86
1800,0,162.374,51.574,222.34,52.86
1900,0,168.844,50.8863,222.34,52.86
2000,0,174.789,50.6419,222.34,52.86
2100,0,181.271,50.1615,222.34,52.86
2200,0,187.924,48.9261,222.34,52.86
2300,0,194.062,48.6618,222.34,52.86
2400,0,200.935,48.7786,222.34,52.86
2500,0,207.567,49.6511,222.34,52.86
2600,0,213.573,48.7306,222.34,52.86
2700,0,220.037,50.0045,222.34,52.86
2800,0,225.872,49.3741,222.34,52.86
2900,0,232.396,50.5687,222.34,52.86
3000,0,238.824,50.3086,222.34,52.86
3100,0,245.016,49.9555,222.34,52.86
3200,0,250.83,49.6686,222.34,52.86
3300,0,257.2,50.1389,222.34,52.86
3400,0,263.505,49.4331,222.34,52.86
3500,0,269.805,49.6292,222.34,52.86
3600,0,276.303,50.3077,222.34,52.86
3700,0,283.007,50.2077,222.34,52.86
3800,0,289.133,49.4488,222.34,52.86
3900,0,295.034,49.5148,222.34,52.86
4000,0,300.928,47.5763,222.34,52.86
4100,0,307.455,47.7319,222.34,52.86
4200,0,314.143,47.5724,222.34,52.86
4300,0,321.177,46.8172,222.34,52.86
4400,0,327.258,47.5376,222.34,52.86
4500,0,333.786,48.4947,222.34,52.86
4600,0,340.455,48.4879,222.34,52.86
4700,0,346.7,47.7334,222.34,52.86
4800,0,353.142,46.9004,222.34,52.86
4900,0,359.605,47.2103,222.34,52.86
5000,0,366.142,48.278,222.34,52.86
5100,0,372.657,49.6781,222.34,52.86
5200,0,379.008,50.1871,222.34,52.86
5300,0,385.099,50.9227,222.34,52.86
5400,0,390.685,51.157,222.34,52.86
5500,0,396.355,50.5473,222.34,52.86
5600,0,402.849,51.0929,222.34,52.86
5700,0,409.283,50.8549,222.34,52.86
5800,0,415.898,50.5823,222.34,52.86
5900,0,422.652,51.1129,222.34,52.86
6000,0,428.766,51.3951,222.34,52.86
6100,0,435.373,51.9416,222.34,52.86
6200,0,441.993,53.2739,222.34,52.86
6300,0,448.549,53.9097,222.34,52.86
6400,0,454.702,53.3147,222.34,52.86
6500,0,461.467,54.8366,222.34,52.86
6600,0,467.557,55.1983,222.34,52.86
6700,0,473.319,55.2969,222.34,52.86
6800,0,479.333,55.9165,222.34,52.86
6900,0,485.394,55.9275,222.34,52.86
7000,0,492.43,55.7939,222.34,52.86
7100,0,498.867,56.4925,222.34,52.86
7200,0,505.471,56.1614,222.34,52.86
7300,0,511.488,56.514,222.34,52.86
7400,0,517.619,58.3005,222.34,52.86
7500,0,524.051,57.0775,222.34,52.86
7600,0,530.233,56.6378,222.34,52.86
7700,0,536.838,56.7363,222.34,52.86
7800,0,543.017,57.4132,222.34,52.86
7900,0,548.728,57.1482,222.34,52.86
8000,0,554.802,55.7592,222.34,52.86
8100,0,560.914,56.5522,222.34,52.86
8200,0,567.149,56.1011,222.34,52.86
8300,0,574.171,56.4357,222.34,52.86
8400,0,580.537,55.9477,222.34,52.86
8500,0,586.556,55.2808,222.34,52.86
8600,0,592.76,55.616,222.34,52.86
8700,0,599.239,55.3766,222.34,52.86
8800,0,606.075,56.1654,222.34,52.86
8900,0,612.265,55.5452,222.34,52.86
9000,0,618.674,55.021,222.34,52.86
9100,0,624.873,56.2563,222.34,52.86
9200,0,631.615,55.8048,222.34,52.86
9300,0,637.888,56.3632,222.34,52.86
9400,0,644.556,56.2788,222.34,52.86
9500,0,650.665,55.9355,222.34,52.86
9600,0,656.99,54.6963,222.34,52.86
9700,0,663.589,54.7714,222.34,52.86
9800,0,669.888,54.6257,222.34,52.86
9900,0,676.295,54.2358,222.34,52.86
10000,0,683.427,53.7719,222.34,52.86
100,1,56.3181,49.2468,222.34,52.86
200,1,62.8743,48.7942,222.34,52.86
300,1,69.3882,47.3399,222.34,52.86
400,1,76.0414,46.8534,222.34,52.86
500,1,82.559,46.9744,222.34,52.86
600,1,89.2346,44.774,222.34,52.86
700,1,95.3799,45.7181,222.34,52.86
800,1,101.47,45.0974,222.34,52.86
900,1,107.645,44.2198,222.34,52.86
1000,1,113.781,44.7377,222.34,52.86
1100,1,120.338,44.9954,222.34,52.86
1200,1,126.314,44.9559,222.34,52.86
1300,1,131.847,45.9793,222.34,52.86
1400,1,137.977,47.1068,222.34,52.86
1500,1,144.309,48.6114,222.34,52.86
1600,1,150.099,48.2687,222.34,52.86
1700,1,156.604,48.9058,222.34,52.86
1800,1,162.998,48.8948,222.34,52.86
1900,1,168.884,49.8442,222.34,52.86
2000,1,175.566,49.6962,222.34,52.86
2100,1,181.462,50.7245,222.34,52.86
2200,1,187.474,50.787,222.34,52.86
2300,1,193.692,49.8856,222.34,52.86
2400,1,199.958,50.3542,222.34,52.86
2500,1,205.948,51.9848,222.34,52.86
2600,1,212.548,51.3728,222.34,52.86
2700,1,219.319,51.5338,222.34,52.86
2800,1,225.593,51.4117,222.34,52.86
2900,1,231.877,51.0073,222.34,52.86
3000,1,238.117,50.4035,222.34,52.86
3100,1,245.089,50.4789,222.34,52.86
3200,1,251.334,51.1481,222.34,52.86
3300,1,257.785,50.9931,222.34,52.86
3400,1,264.28,52.1597,222.34,52.86
3500,1,271.133,51.747,222.34,52.86
3600,1,277.705,51.0157,222.34,52.86
3700,1,284.142,49.8835,222.34,52.86
3800,1,290.808,49.9494,222.34,52.86
3900,1,297.068,50.5978,222.34,52.86
4000,1,303.178,50.6547,222.34,52.86
4100,1,309.576,50.9548,222.34,52.86
4200,1,316.276,51.9248,222.34,52.86
4300,1,323.003,50.5854,222.34,52.86
4400,1,328.977,50.3182,222.34,52.86
4500,1,335.418,49.6057,222.34,52.86
4600,1,341.851,49.7895,222.34,52.86
4700,1,348.677,50.1043,222.34,52.86
4800,1,355.234,48.8517,222.34,52.86
4900,1,362.052,47.8414,222.34,52.86
5000,1,369.041,48.0761,222.34,52.86
5100,1,375.153,47.8351,222.34,52.86
5200,1,381.829,48.4967,222.34,52.86
5300,1,388.299,48.8294,222.34,52.86
5400,1,394.1,48.8438,222.34,52.86
5500,1,400.342,49.2617,222.34,52.86
5600,1,407.043,49.9504,222.34,52.86
5700,1,413.678,49.0634,222.34,52.86
5800,1,419.907,49.9049,222.34,52.86
5900,1,426.552,49.4606,222.34,52.86
6000,1,432.356,48.8288,222.34,52.86
6100,1,438.71,48.7513,222.34,52.86
6200,1,444.937,47.9684,222.34,52.86
6300,1,451.4,46.9668,222.34,52.86
6400,1,457.987,46.0955,222.34,52.86
6500,1,464.286,46.2967,222.34,52.86
6600,1,470.583,47.0262,222.34,52.86
6700,1,477.226,47.7424,222.34,52.86
6800,1,483.474,46.8366,222.34,52.86
6900,1,489.728,45.9157,222.34,52.86
7000,1,496.76,46.2675,222.34,52.86
7100,1,502.767,45.3123,222.34,52.86
7200,1,509.232,45.104,222.34,52.86
7300,1,515.746,45.7723,222.34,52.86
7400,1,522.321,45.6953,222.34,52.86
7500,1,528.851,45.4862,222.34,52.86
7600,1,535.497,45.8675,222.34,52.86
7700,1,542.071,45.0454,222.34,52.86
7800,1,548.389,45.8777,222.34,52.86
7900,1,554.805,46.0964,222.34,52.86
8000,1,560.801,46.4887,222.34,52.86
8100,1,567.991,46.9025,222.34,52.86
8200,1,574.197,46.7979,222.34,52.86
8300,1,580.247,45.7445,222.34,52.86
8400,1,586.879,45.3561,222.34,52.86
8500,1,592.839,45.6513,222.34,52.86
8600,1,598.621,45.9523,222.34,52.86
8700,1,605.066,45.2931,222.34,52.86
8800,1,611.717,45.7272,222.34,52.86
8900,1,618.263,45.2994,222.34,52.86
9000,1,624.95,44.3294,222.34,52.86
9100,1,631.135,43.9394,222.34,52.86
9200,1,637.812,43.482,222.34,52.86
9300,1,644.223,44.3688,222.34,52.86
9400,1,650.747,44.4828,222.34,52.86
9500,1,657.116,44.8431,222.34,52.86
9600,1,663.279,45.0203,222.34,52.86
9700,1,669.851,45.1438,222.34,52.86
9800,1,675.95,44.8017,222.34,52.86
9900,1,682.511,44.5906,222.34,52.86
10000,1,688.409,44.0646,222.34,52.86
100,2,56.4066,50.381,222.34,52.86
200,2,62.8016,50.5043,222.34,52.86
300,2,68.9772,49.7483,222.34,52.86
400,2,75.5655,49.4776,222.34,52.86
500,2,81.7011,48.7252,222.34,52.86
600,2,88.5198,49.6182,222.34,52.86
700,2,94.9748,50.6891,222.34,52.86
800,2,101.593,51.1228,222.34,52.86
900,2,108.39,50.9526,222.34,52.86
1000,2,114.601,51.2032,222.34,52.86
1100,2,120.758,51.3507,222.34,52.86
1200,2,127.398,53.489,222.34,52.86
1300,2,134.092,54.9471,222.34,52.86
1400,2,140.738,55.952,222.34,52.86
1500,2,147.25,56.1241,222.34,52.86
1600,2,153.08,56.1615,222.34,52.86
1700,2,159.545,56.9389,222.34,52.86
1800,2,165.948,56.9319,222.34,52.86
1900,2,172.443,57.015,222.34,52.86
2000,2,178.728,55.4178,222.34,52.86
2100,2,185.295,55.6638,222.34,52.86
2200,2,192.059,55.2964,222.34,52.86
2300,2,198.586,56.965,222.34,52.86
2400,2,204.952,58.0395,222.34,52.86
2500,2,211.391,59.4175,222.34,52.86
2600,2,217.28,59.2366,222.34,52.86
2700,2,223.714,59.5303,222.34,52.86
2800,2,230.178,58.9586,222.34,52.86
2900,2,236.524,59.3858,222.34,52.86
3000,2,243.151,60.7738,222.34,52.86
3100,2,249.374,60.8344,222.34,52.86
3200,2,255.841,61.2948,222.34,52.86
3300,2,262.263,61.1431,222.34,52.86
3400,2,268.517,62.0962,222.34,52.86
3500,2,274.911,61.3234,222.34,52.86
3600,2,281.181,60.9962,222.34,52.86
3700,2,287.091,62.0529,222.34,52.86
3800,2,293.724,62.1919,222.34,52.86
3900,2,299.931,62.9133,222.34,52.86
4000,2,306.104,63.2759,222.34,52.86
4100,2,311.598,63.7014,222.34,52.86
4200,2,318.029,63.9848,222.34,52.86
4300,2,324.552,64.047,222.34,52.86
4400,2,330.958,64.6897,222.34,52.86
4500,2,337.4,65.0159,222.34,52.86
4600,2,343.769,65.9941,222.34,52.86
4700,2,350.2,65.5794,222.34,52.86
4800,2,356.743,66.2066,222.34,52.86
4900,2,363.003,66.7136,222.34,52.86
5000,2,369.839,67.5807,222.34,52.86
5100,2,376.118,68.1879,222.34,52.86
5200,2,382.032,68.3099,222.34,52.86
5300,2,389.291,68.8551,222.34,52.86
5400,2,396.156,69.0195,222.34,52.86
5500,2,402.088,69.6688,222.34,52.86
5600,2,408.493,70.7627,222.34,52.86
5700,2,414.721,71.2889,222.34,52.86
5800,2,421.038,72.5205,222.34,52.86
5900,2,427.512,71.8068,222.34,52.86
6000,2,433.717,71.4631,222.34,52.86
6100,2,439.645,71.6863,222.34,52.86
6200,2,445.647,70.8201,222.34,52.86
6300,2,452.181,70.2451,222.34,52.86
6400,2,458.7,70.8478,222.34,52.86
6500,2,464.97,70.2151,222.34,52.86
6600,2,471.293,70.9596,222.34,52.86
6700,2,477.879,70.4809,222.34,52.86
6800,2,484.229,71.3947,222.34,52.86
6900,2,491.047,71.2835,222.34,52.86
7000,2,497.493,71.0616,222.34,52.86
7100,2,503.515,70.814,222.34,52.86
7200,2,510.285,71.7051,222.34,52.86
7300,2,516.37,71.6574,222.34,52.86
7400,2,523.261,70.8371,222.34,52.86
7500,2,529.907,70.3652,222.34,52.86
7600,2,536.615,71.3474,222.34,52.86
7700,2,542.766,70.8258,222.34,52.86
7800,2,549.598,70.9953,222.34,52.86
7900,2,555.935,70.5328,222.34,52.86
8000,2,562.454,70.4793,222.34,52.86
8100,2,568.963,70.0613,222.34,52.86
8200,2,574.951,70.375,222.34,52.86
8300,2,581.426,71.604,222.34,52.86
8400,2,587.321,70.333,222.34,52.86
8500,2,593.865,68.7514,222.34,52.86
8600,2,600.365,67.6275,222.34,52.86
8700,2,606.415,68.9201,222.34,52.86
8800,2,613.022,67.9742,222.34,52.86
8900,2,619.526,68.3361,222.34,52.86
9000,2,626.043,68.2042,222.34,52.86
9100,2,632.619,68.9738,222.34,52.86
9200,2,639.187,68.2214,222.34,52.86
9300,2,645.545,68.5172,222.34,52.86
9400,2,652.442,68.2019,222.34,52.86
9500,2,658.84,67.2669,222.34,52.86
9600,2,665.138,67.2314,222.34,52.86
9700,2,671.578,67.151,222.34,52.86
9800,2,678.224,67.5324,222.34,52.86
9900,2,684.816,68.4373,222.34,52.86
10000,2,691.182,68.7652,222.34,52.86
100,3,56.5292,51.1065,222.34,52.86
200,3,62.3925,51.3132,222.34,52.86
300,3,68.3476,50.2723,222.34,52.86
