time,id,com_1,com_2,area,surface
0.0,100,4.0,4.0,37.0,64.0
100.0,100,25.20689655,4.724137931,29.0,64.0
200.0,100,44.90322581,5.967741935,31.0,64.0
300.0,100,64.53333333,5.533333333,30.0,68.0
400.0,100,83.76666667,6.6,30.0,64.0
500.0,100,101.7647059,6.088235294,34.0,66.0
600.0,100,125.3333333,4.545454545,33.0,64.0
700.0,100,147.84375,4.34375,32.0,66.0
800.0,100,166.483871,6.935483871,31.0,68.0
900.0,100,186.8387097,8.741935484,31.0,62.0
1000.0,100,206.1764706,8.558823529,34.0,66.0
1100.0,100,224.3428571,8.171428571,35.0,66.0
1200.0,100,242.6333333,6.6,30.0,62.0
1300.0,100,262.1,8.9,30.0,64.0
1400.0,100,281.1724138,12.37931034,29.0,62.0
1500.0,100,302.4242424,12.48484848,33.0,64.0
1600.0,100,321.3870968,14.03225806,31.0,66.0
1700.0,100,339.8709677,16.32258065,31.0,64.0
1800.0,100,360.8666667,15.0,30.0,66.0
1900.0,100,382.4848485,12.81818182,33.0,66.0
2000.0,100,400.7058824,12.58823529,34.0,66.0
2100.0,100,419.5588235,10.0,34.0,66.0
2200.0,100,437.5151515,11.96969697,33.0,64.0
2300.0,100,456.4242424,10.42424242,33.0,66.0
2400.0,100,473.7878788,9.363636364,33.0,66.0
2500.0,100,493.9393939,11.33333333,33.0,66.0
2600.0,100,512.7241379,14.10344828,29.0,64.0
2700.0,100,532.2222222,16.63888889,36.0,68.0
2800.0,100,553.6551724,18.06896552,29.0,64.0
2900.0,100,571.8787879,17.66666667,33.0,64.0
3000.0,100,593.1875,16.875,32.0,62.0
3100.0,100,612.9032258,19.93548387,31.0,62.0
3200.0,100,632.0,21.18181818,33.0,64.0
3300.0,100,652.9354839,22.77419355,31.0,62.0
3400.0,100,670.0645161,20.96774194,31.0,64.0
3500.0,100,689.4193548,21.51612903,31.0,62.0
3600.0,100,710.6,20.33333333,30.0,66.0
3700.0,100,731.3571429,19.39285714,28.0,62.0
3800.0,100,752.4,19.6,30.0,64.0
3900.0,100,771.6206897,18.65517241,29.0,66.0
4000.0,100,792.3666667,21.26666667,30.0,64.0
4100.0,100,812.030303,22.24242424,33.0,66.0
4200.0,100,828.2903226,25.22580645,31.0,64.0
4300.0,100,847.2580645,27.32258065,31.0,64.0
4400.0,100,866.7272727,26.15151515,33.0,66.0
4500.0,100,885.7575758,27.06060606,33.0,64.0
4600.0,100,907.2727273,26.3030303,33.0,64.0
4700.0,100,928.3939394,25.51515152,33.0,64.0
4800.0,100,949.0909091,22.63636364,33.0,64.0
4900.0,100,966.2333333,23.56666667,30.0,62.0
5000.0,100,985.0645161,22.03225806,31.0,66.0
5100.0,100,1003.241379,19.86206897,29.0,60.0
5200.0,100,1023.741935,18.5483871,31.0,64.0
5300.0,100,1042.612903,18.70967742,31.0,66.0
5400.0,100,1062.727273,17.96969697,33.0,68.0
5500.0,100,1083.103448,17.44827586,29.0,62.0
5600.0,100,1102.0,17.03333333,30.0,64.0
5700.0,100,1123.212121,17.66666667,33.0,66.0
5800.0,100,1144.6,19.7,30.0,62.0
5900.0,100,1164.451613,18.64516129,31.0,66.0
6000.0,100,1183.709677,20.12903226,31.0,64.0
6100.0,100,1201.757576,19.60606061,33.0,66.0
6200.0,100,1220.6875,19.3125,32.0,66.0
6300.0,100,1238.939394,16.0,33.0,66.0
6400.0,100,1257.454545,16.48484848,33.0,66.0
6500.0,100,1283.103448,16.44827586,29.0,62.0
6600.0,100,1303.166667,19.73333333,30.0,64.0
6700.0,100,1323.354839,20.09677419,31.0,64.0
6800.0,100,1341.676471,20.32352941,34.0,68.0
6900.0,100,1359.064516,21.35483871,31.0,64.0
7000.0,100,1378.96875,21.5625,32.0,64.0
7100.0,100,1397.382353,21.41176471,34.0,64.0
7200.0,100,1418.290323,22.25806452,31.0,64.0
7300.0,100,1435.0,23.71875,32.0,62.0
7400.0,100,1456.741935,25.22580645,31.0,64.0
7500.0,100,1475.9,25.7,30.0,62.0
7600.0,100,1496.114286,30.05714286,35.0,64.0
7700.0,100,1513.705882,31.85294118,34.0,66.0
7800.0,100,1531.0,30.88235294,34.0,64.0
7900.0,100,1548.7,33.73333333,30.0,62.0
8000.0,100,1569.787879,32.27272727,33.0,66.0
8100.0,100,1587.03125,31.4375,32.0,64.0
8200.0,100,1610.677419,32.67741935,31.0,62.0
8300.0,100,1629.035714,36.14285714,28.0,62.0
8400.0,100,1644.666667,34.93939394,33.0,64.0
8500.0,100,1662.4375,31.78125,32.0,64.0
8600.0,100,1683.484848,31.78787879,33.0,66.0
8700.0,100,1702.0,32.42307692,26.0,62.0
8800.0,100,1719.666667,30.93333333,30.0,62.0
8900.0,100,1739.064516,31.22580645,31.0,64.0
9000.0,100,1758.483871,31.25806452,31.0,64.0
9100.0,100,1779.90625,34.9375,32.0,62.0
9200.0,100,1799.290323,36.22580645,31.0,64.0
9300.0,100,1820.75,38.3125,32.0,64.0
9400.0,100,1843.103448,37.51724138,29.0,58.0
9500.0,100,1863.724138,39.10344828,29.0,60.0
9600.0,100,1882.125,41.46875,32.0,66.0
9700.0,100,1902.413793,37.24137931,29.0,62.0
9800.0,100,1921.03125,33.03125,32.0,66.0
9900.0,100,1941.866667,39.13333333,30.0,62.0
10000.0,100,1960.833333,39.76666667,30.0,62.0
0.0,101,4.0,4.0,37.0,64.0
100.0,101,22.5483871,1.967741935,31.0,66.0
200.0,101,38.78787879,1.575757576,33.0,64.0
300.0,101,58.625,0.09375,32.0,64.0
400.0,101,75.8125,-0.4375,32.0,66.0
500.0,101,97.82758621,-1.103448276,29.0,64.0
600.0,101,118.0,-3.8125,32.0,66.0
700.0,101,135.59375,-3.25,32.0,64.0
800.0,101,154.0,-2.03125,32.0,64.0
900.0,101,172.4848485,-5.363636364,33.0,66.0
1000.0,101,192.4545455,-7.575757576,33.0,64.0
1100.0,101,212.25,-5.15625,32.0,66.0
1200.0,101,228.0645161,-4.967741935,31.0,66.0
1300.0,101,250.4242424,-3.939393939,33.0,64.0
